"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/08/09","【Amazon.co.jp限定】【大容量】デカラクサイズ アタックZERO ドラム式専用 洗濯洗剤 液体 アタック液体史上 最高 販売: アマゾンジャパン合同会社","-2189","Amazon.co.jp","日用品","日用品","","0","_m0q7E3JWjqF_KsJH7VvRw"
"1","2023/08/09","nonowa武蔵小金井/iD","-830","三井住友カード","食費","食料品","","0","TkWO0Hvlg63UObJuxyi_hg"
"1","2023/08/09","セブン-イレブン/iD","-247","三井住友カード","食費","食料品","","0","9o_QnYjvsYOcoYlZfCc6Ew"
"1","2023/08/09","セブン-イレブン/iD","-1987","三井住友カード","食費","食料品","","0","Ckuo5BCHPWUgkQoiuAhtRA"
"1","2023/08/09","セブン-イレブン/iD","-817","三井住友カード","食費","食料品","","0","7BrBizRZ00R18TD56qGwkA"
"1","2023/08/09","TOWNGETECORETOKYO/iD","-2340","三井住友カード","食費","食料品","","0","F2eXJsbNjkTulPRcebChVQ"
"1","2023/08/09","ローソン/iD","-6184","三井住友カード","日用品","お小遣い(一晃)","","0","H7ZW8mpRpxmuwKPbeT8orA"
"0","2023/08/09","振替 SBI証券","97500","住信SBIネット銀行(一晃)","未分類","未分類","","1","XAXVdwy_UAr9ADOueEeYKQ"
"1","2023/08/08","いなげや 武蔵野関前店","-880","三井住友カード","食費","食料品","","0","IRsiRsIOZuBtqRB7rKV7QA"
"1","2023/08/08","ディズニープラス(ドコモ課金)","-990","三井住友カード","通信費","携帯電話","","0","Bcodj-zbv5-ZNzd9HxPQmw"
"1","2023/08/08","サイゼリヤ","-1250","三井住友カード","食費","外食","","0","qGtZdwQldWchbssdkWu1Nw"
"1","2023/08/08","増資(課税対象外)","-200","パルシステム","食費","食費","","0","ySkFIwxLIfna3maFnmzboA"
"1","2023/08/08","北海道のミックスベジタブル玉ねぎ入り 300g レシピ","-322","パルシステム","食費","食料品","","0","j2Sw8S7cr1fq3bXzRE6GZA"
"1","2023/08/08","ひきわり納豆(たれ・からし付) 30g×3 レシピ","-171","パルシステム","食費","食料品","","0","ppadTNfD1BDtHaWvTsHl1g"
"1","2023/08/08","マッサマンカレーとレモンライスセット 1セット","-1024","パルシステム","食費","外食","","0","Xeg9SZ8VkDaf7P6bK9EVNQ"
"1","2023/08/08","7品目の大根サラダ(国産野菜) 120g","-320","パルシステム","食費","食料品","","0","ZHN48CHBsoMSs4pGcnTCrg"
"1","2023/08/08","ブロッコリーの新芽 30g レシピ","-113","パルシステム","食費","食料品","","0","KrCBOKdBYiiE2hrxQk2nOQ"
"1","2023/08/08","中華丼の具 185g×3","-538","パルシステム","食費","外食","","0","vsTVQ_M8_fy0oxsrIkW9HQ"
"1","2023/08/08","大きい焼売 8個264g","-538","パルシステム","食費","食料品","","0","AFSCUBNQ9KcAuqbt9t9iuA"
"1","2023/08/08","鶏唐揚げと6種野菜の黒酢あん 270g","-570","パルシステム","食費","食料品","","0","26lkGaX_v6rUSvPmYDhTWQ"
"1","2023/08/08","産直野菜で作った糖しぼり大根 2個250g レシピ","-333","パルシステム","食費","食料品","","0","ThsqNtSurK-jDbryN9tX1g"
"1","2023/08/08","鹿児島さつまあげ夏セット 3種9個","-322","パルシステム","食費","食料品","","0","1ObTgC_CZveshYYfsEtXng"
"1","2023/08/08","国産極小粒納豆(たれ・からし付) 30g×6 レシピ","-257","パルシステム","食費","食料品","","0","9La68wMuwjUfi5S8bcXUcg"
"1","2023/08/08","なめらか絹とうふ小分けパック 150g×3 レシピ","-167","パルシステム","食費","食料品","","0","4s4ufT4BwslskeodiCmbxA"
"1","2023/08/08","国産大豆木綿とうふ小分けパック 100g×3 レシピ","-184","パルシステム","食費","食料品","","0","cEBMU9HLK3ykf2lyANe11A"
"1","2023/08/08","産直豚カタローススライスジャンボパック(分包) 400g レシピ","-970","パルシステム","食費","食料品","","0","DrLF5P_DYMsXHeYqo2CcXg"
"1","2023/08/08","たことえびのフレッシュマリネ 115g","-495","パルシステム","食費","食料品","","0","fJzJD_zngbfSEQuNKyWubQ"
"1","2023/08/08","産直冷凍えだまめ(湯あがり娘) 250g レシピ","-359","パルシステム","食費","食料品","","0","O1jtmPNIfxJQ-iaUrrr2XQ"
"1","2023/08/08","緑豆もやし 300g レシピ","-98","パルシステム","食費","食料品","","0","KCiM3Emy-3iV25kS8GR_jQ"
"1","2023/08/08","4種のきのこセット 1セット レシピ","-473","パルシステム","食費","食料品","","0","u2eXZl4_jylrHLapCkUVuQ"
"1","2023/08/08","なめこ 80g レシピ","-106","パルシステム","食費","食料品","","0","EqYiKUV4FWvO1dZ1WYEhiQ"
"1","2023/08/08","ブロッコリー 1個 レシピ","-246","パルシステム","食費","食料品","","0","OLrrLK2OFlQ86w5dwIbybg"
"1","2023/08/08","オクラ 1パック レシピ","-171","パルシステム","食費","食料品","","0","RhkGIt4LtK8cllOWUQE5tQ"
"1","2023/08/08","にら 100g レシピ","-127","パルシステム","食費","食料品","","0","MR73J0lHSSBeBLQ89cyngA"
"1","2023/08/08","エコ・キャベツ 1個 レシピ","-192","パルシステム","食費","食料品","","0","-GhMuG80Y5eGSyDM03KWFw"
"1","2023/08/08","きゅうり 3本 レシピ","-192","パルシステム","食費","食料品","","0","5tQl4APyylFXbbEE-vWNlw"
"1","2023/08/08","徳用ミニトマト(特大パック) 400g レシピ","-462","パルシステム","食費","食料品","","0","EUrRCdZemzBmXjrbYLP1tA"
"1","2023/08/08","芽吹き屋のずんだもち 50g×6","-700","パルシステム","食費","食料品","","0","M_IT0PYhcNAtt6HqjpWkDQ"
"1","2023/08/08","産直たまご(赤玉またはピンク玉) 10個(MS~LL) レシピ","-354","パルシステム","食費","食料品","","0","rd2a8ytN0NMDRFzgsXwvNQ"
"1","2023/08/08","毎週お届け 3日分の時短ごはんセット 2人分 レシピ","-3113","パルシステム","食費","食料品","","0","buU-gGx1dlDjgGrdqHHPdA"
"1","2023/08/08","【定期お届け】 【毎週】酪農家の低脂肪牛乳 1000ml レシピ","-279","パルシステム","食費","食料品","","0","RoyYda7Sjn4jXB3esvbVgg"
"1","2023/08/08","【定期お届け】 【毎週】酪農家の牛乳 1000ml レシピ","-291","パルシステム","食費","食料品","","0","htmm1UcXrlLsMCv5_n5g6w"
"0","2023/08/08","パソコン振込 カ) エスビ-アイシヨウケン","-100000","三井住友銀行(一晃)","特別な支出","投資","","1","9gl9KOR82E3h4CWPsdr7tg"
"1","2023/08/08","メガロスカイヒ(SMFS","-10450","三井住友銀行(一晃)","健康・医療","フィットネス","","0","2NaZbOShek2-t6QW-qhjZQ"
"1","2023/08/08","メガロスカイヒ(SMFS","-4730","三井住友銀行(一晃)","健康・医療","フィットネス","","0","2auAOBlhdpoy2H628cizwQ"
"0","2023/08/08","振替 SBI証券","-2400","住信SBIネット銀行(一晃)","特別な支出","投資","","1","QWHACugq3-ZYrKU9em7uzw"
"1","2023/08/08","積立増資(8月2回)","-200","パルシステム","食費","食料品","","0","BJnuo0vkbqWsGAIJlbo2NA"
"1","2023/08/07","エコ薬局","-805","三井住友カード","健康・医療","薬","","0","KzbXG7BaBGK8OV1xZcZlcQ"
"1","2023/08/07","セブン-イレブン/iD","-2398","三井住友カード","食費","食料品","","0","EMLnV-L8GmKJCL8TgonX_A"
"0","2023/08/07","振替 SBI証券","-1600","住信SBIネット銀行(一晃)","特別な支出","投資","","1","VvIgHys9rPu5OfwWE2ND0Q"
"0","2023/08/07","DF.ウエルスナビ","-15000","三井住友銀行(一晃)","その他","事業投資","","1","x_GQgPzK-rKSwzQkzhGn6Q"
"1","2023/08/06","イオンシネマ板橋","-1400","三井住友カード","日用品","日用品","","0","BKBob9_JYUZ-mEl-0Eatvg"
"1","2023/08/06","イオン 板橋/iD","-2180","三井住友カード","日用品","日用品","","0","U1Mom5pNJ04R7QOfc-Gb2Q"
"1","2023/08/06","イオンシネマ板橋","-2900","三井住友カード","日用品","日用品","","0","HH70u1PIGfIstH4JIJQI5A"
"1","2023/08/06","イオン 板橋/iD","-5128","三井住友カード","日用品","日用品","","0","Xw7FawpDFJHRprceI2BVQQ"
"1","2023/08/06","ファミリーマート/iD","-176","三井住友カード","日用品","お小遣い(一晃)","","0","zn99zneXwMlC-Ndgtw8tAA"
"1","2023/08/05","割引","65","Amazon.co.jp","収入","一時所得","","0","NqrrIz2S1kOjY5QQmP_tvg"
"1","2023/08/05","和光堂 Oral plus オーラルプラス 口腔ケアウェッティ 本体 100枚 販売: アマゾンジャパン合同会社","-652","Amazon.co.jp","日用品","介護用品","","0","_p7CNx-0gwG6T7jjiVlH4g"
"1","2023/08/05","ミニストップ 三鷹駅北口/iD","-75","三井住友カード","食費","食料品","","0","37DDzsrfeSJ5WxDlrDMK1A"
"1","2023/08/05","猿田彦珈琲 別館豆屋","-491","三井住友カード","食費","カフェ","","0","SydLwJxyl4A3E41PzshHsQ"
"1","2023/08/05","ファミリーマート/iD","-364","三井住友カード","日用品","お小遣い(一晃)","","0","rNqymisseYIMYkZQ28RzeQ"
"1","2023/08/05","シズカバイシズカニューヨーク","-2980","三井住友カード","衣服・美容","化粧品","","0","ZhS32B-4AidaiqIP1xSLPw"
"1","2023/08/05","セブン-イレブン/iD","-1172","三井住友カード","食費","食料品","","0","SOJZGP6Iv-DB519Pt6JuFQ"
"1","2023/08/05","サンマルクカフェ 三鷹駅南口店/iD","-580","三井住友カード","食費","カフェ","","0","GCNCdIVznl-NX7ZBqALUdw"
"1","2023/08/05","1822マツモトキヨシDS武蔵境店/iD","-2846","三井住友カード","日用品","ドラッグストア","","0","cgIbGeyS6pojjueyPLv_3g"
"1","2023/08/04","NURO光 ご利用料金","-6482","三井住友カード","通信費","インターネット","","0","339yuevpAeMjJBLhg_6buw"
"1","2023/08/04","オーケー三鷹北口店/iD","-3069","三井住友カード","食費","食料品","","0","9F4QmyXxN7ZfQBJUH-IEyQ"
"0","2023/08/04","振替 SBI証券","-1600","住信SBIネット銀行(一晃)","特別な支出","投資","","1","q7ACRdTpV8H9bkG9_2mTiQ"
"1","2023/08/04","飲料自販機/iD","-120","三井住友カード","食費","食料品","","0","LjYsOAwAj9JXbw8RIvitRg"
"1","2023/08/03","TAIRAYA武蔵境店","-3090","三井住友カード","食費","食料品","","0","SKlA_gR06Pki9LKL46d_fA"
"0","2023/08/03","振替 SBI証券","-2050","住信SBIネット銀行(一晃)","特別な支出","投資","","1","0yQtgPzo0IILoLQp4kIZKQ"
"1","2023/08/02","ウエルテック 歯肉炎予防 コンクールF 100ml×2個+お試しコンクールF 7ml×2個 コンクール 洗口液 販売: HOSHINO_STORE","-2375","Amazon.co.jp","日用品","日用品","","0","fq5DTwsNv_PIioSH6sc68g"
"1","2023/08/02","【リニューアル】フェイスマスク ルルルン Over45 2FB (肌を明るくする, うるおいを与える) 32シート (x 1) 販売: LuLuLun 公式ショップ","-1980","Amazon.co.jp","衣服・美容","化粧品","","0","gCfYg35RBN7Bx2XZU6qTkw"
"1","2023/08/02","Oxford Reading Tree Level1+ First Sentences Pack 販売: アマゾンジャパン合同会社","-3949","Amazon.co.jp","教養・教育","書籍","","0","QkYlRN1eDRKWTFptOgO4-Q"
"1","2023/08/02","大塚製薬工場 経口補水液 オーエスワン 500mlx24本 販売: アマゾンジャパン合同会社","-4091","Amazon.co.jp","日用品","介護用品","","0","rT2kkZQcdoZdCBQiyC-MXw"
"1","2023/08/02","東京電力 電気料金等","-5703","三井住友カード","水道・光熱費","電気代","","0","3Io66wfA3_kXmvcJC_ZJzQ"
"1","2023/08/02","いなげや 武蔵野関前店","-3891","三井住友カード","食費","食料品","","0","3nWEYouenZe1mLilREXNkA"
"0","2023/08/02","振替 SBI証券","-2900","住信SBIネット銀行(一晃)","特別な支出","投資","","1","HzZ5ZPdYeTuNyHIHynefDA"
"1","2023/08/01","アフラック(WEB)","-3984","三井住友カード","保険","医療保険","","0","GrKlCNH8QaXi5qXBZhuq1w"
"1","2023/08/01","アオバジャパン・バイリンガルプリスクール","-27500","三井住友カード","教養・教育","習いごと","","0","Z68p9aQ0Sr1PrB5F1jf_9g"
"1","2023/08/01","夏来る還元祭2023キャッシュバック特典 (返品)","50","三井住友カード","収入","一時所得","","0","HY0whh-cZk5JDffGSzw1Eg"
"1","2023/08/01","積立増資(8月1回)","-200","パルシステム","食費","食料品(生協)","","0","qNHutr_kL5q4PpUb2V3EHw"
"1","2023/08/01","パルシステム手数料(8月1回)","-165","パルシステム","食費","食料品(生協)","","0","W0dEZmHK_difiJMdGFNvPA"
"1","2023/08/01","増資(課税対象外)","-200","パルシステム","食費","食料品(生協)","","0","B1Vz0gX4k-hIFpkCT7lu2A"
"1","2023/08/01","毎週お届け 3日分の時短ごはんセット 2人分 レシピ","-4188","パルシステム","食費","食料品(生協)","","0","r-fVyzJWLG3UZQflYN91eg"
"1","2023/08/01","【定期お届け】 【毎週】酪農家の低脂肪牛乳 1000ml レシピ","-255","パルシステム","食費","食料品(生協)","","0","wZgW8KSG0n3MlYYcMowCtQ"
"1","2023/08/01","【定期お届け】 【毎週】酪農家の牛乳 1000ml レシピ","-804","パルシステム","食費","食料品(生協)","","0","JGZ0JpzWur9LO9AyQBNXfA"
"1","2023/08/01","日経xwoman","-825","三井住友カード","教養・教育","書籍","","0","6Oewcuyq2Ujr8nRKPXbG9A"
"1","2023/08/01","アフラック","-6176","三井住友カード","保険","医療保険","","0","XoyjUECqXxChXy6QUignHg"
"0","2023/08/01","振替 SBI証券","-2400","住信SBIネット銀行(一晃)","特別な支出","投資","","1","ydcrTT-6lxyOA_qtPKE8UQ"
